PID,ID,Name
TA0003-Persistence (Enterprise),T1546.015-Component Object Model Hijacking,Component Object Model Hijacking
TA0003-Persistence (Enterprise),T1546.016-Installer Packages,Installer Packages
TA0003-Persistence (Enterprise),T1546.017-Udev Rules,Udev Rules
TA0003-Persistence (Enterprise),T1668-Exclusive Control,Exclusive Control
TA0003-Persistence (Enterprise),T1133-External Remote Services,External Remote Services
TA0003-Persistence (Enterprise),T1574-Hijack Execution Flow,Hijack Execution Flow
TA0003-Persistence (Enterprise),T1574.001-DLL,DLL
TA0003-Persistence (Enterprise),T1574.004-Dylib Hijacking,Dylib Hijacking
TA0003-Persistence (Enterprise),T1574.005-Executable Installer File Permissions Weakness,Executable Installer File Permissions Weakness
TA0003-Persistence (Enterprise),T1574.006-Dynamic Linker Hijacking,Dynamic Linker Hijacking
TA0003-Persistence (Enterprise),T1574.007-Path Interception by PATH Environment Variable,Path Interception by PATH Environment Variable
TA0003-Persistence (Enterprise),T1574.008-Path Interception by Search Order Hijacking,Path Interception by Search Order Hijacking
TA0003-Persistence (Enterprise),T1574.009-Path Interception by Unquoted Path,Path Interception by Unquoted Path
TA0003-Persistence (Enterprise),T1574.010-Services File Permissions Weakness,Services File Permissions Weakness
TA0003-Persistence (Enterprise),T1574.011-Services Registry Permissions Weakness,Services Registry Permissions Weakness
TA0003-Persistence (Enterprise),T1574.012-COR_PROFILER,COR_PROFILER
TA0003-Persistence (Enterprise),T1574.013-KernelCallbackTable,KernelCallbackTable
TA0003-Persistence (Enterprise),T1574.014-AppDomainManager,AppDomainManager
TA0003-Persistence (Enterprise),T1525-Implant Internal Image,Implant Internal Image
TA0003-Persistence (Enterprise),T1556-Modify Authentication Process,Modify Authentication Process
TA0003-Persistence (Enterprise),T1556.001-Domain Controller Authentication,Domain Controller Authentication
TA0003-Persistence (Enterprise),T1556.002-Password Filter DLL,Password Filter DLL
TA0003-Persistence (Enterprise),T1556.003-Pluggable Authentication Modules,Pluggable Authentication Modules
TA0003-Persistence (Enterprise),T1556.004-Network Device Authentication,Network Device Authentication
TA0003-Persistence (Enterprise),T1556.005-Reversible Encryption,Reversible Encryption
TA0003-Persistence (Enterprise),T1556.006-Multi-Factor Authentication,Multi-Factor Authentication
TA0003-Persistence (Enterprise),T1556.007-Hybrid Identity,Hybrid Identity
TA0003-Persistence (Enterprise),T1556.008-Network Provider DLL,Network Provider DLL
TA0003-Persistence (Enterprise),T1556.009-Conditional Access Policies,Conditional Access Policies
TA0003-Persistence (Enterprise),T1112-Modify Registry,Modify Registry
TA0003-Persistence (Enterprise),T1137-Office Application Startup,Office Application Startup
TA0003-Persistence (Enterprise),T1137.001-Office Template Macros,Office Template Macros
TA0003-Persistence (Enterprise),T1137.002-Office Test,Office Test
TA0003-Persistence (Enterprise),T1137.003-Outlook Forms,Outlook Forms
TA0003-Persistence (Enterprise),T1137.004-Outlook Home Page,Outlook Home Page
TA0003-Persistence (Enterprise),T1137.005-Outlook Rules,Outlook Rules
TA0003-Persistence (Enterprise),T1137.006-Add-ins,Add-ins
TA0003-Persistence (Enterprise),T1653-Power Settings,Power Settings
TA0003-Persistence (Enterprise),T1542-Pre-OS Boot,Pre-OS Boot
TA0003-Persistence (Enterprise),T1542.001-System Firmware,System Firmware
TA0003-Persistence (Enterprise),T1542.002-Component Firmware,Component Firmware
TA0003-Persistence (Enterprise),T1542.003-Bootkit,Bootkit
TA0003-Persistence (Enterprise),T1542.004-ROMMONkit,ROMMONkit
TA0003-Persistence (Enterprise),T1542.005-TFTP Boot,TFTP Boot
TA0003-Persistence (Enterprise),T1053-Scheduled Task/Job,Scheduled Task/Job
TA0003-Persistence (Enterprise),T1053.002-At,At
TA0003-Persistence (Enterprise),T1053.003-Cron,Cron
TA0003-Persistence (Enterprise),T1053.005-Scheduled Task,Scheduled Task
TA0003-Persistence (Enterprise),T1053.006-Systemd Timers,Systemd Timers
TA0003-Persistence (Enterprise),T1053.007-Container Orchestration Job,Container Orchestration Job
TA0003-Persistence (Enterprise),T1505-Server Software Component,Server Software Component
TA0003-Persistence (Enterprise),T1505.001-SQL Stored Procedures,SQL Stored Procedures
TA0003-Persistence (Enterprise),T1505.002-Transport Agent,Transport Agent
TA0003-Persistence (Enterprise),T1505.003-Web Shell,Web Shell
TA0003-Persistence (Enterprise),T1505.004-IIS Components,IIS Components
TA0003-Persistence (Enterprise),T1505.005-Terminal Services DLL,Terminal Services DLL
TA0003-Persistence (Enterprise),T1505.006-vSphere Installation Bundles,vSphere Installation Bundles
TA0003-Persistence (Enterprise),T1176-Software Extensions,Software Extensions
TA0003-Persistence (Enterprise),T1176.001-Browser Extensions,Browser Extensions
TA0003-Persistence (Enterprise),T1176.002-IDE Extensions,IDE Extensions
TA0003-Persistence (Enterprise),T1205-Traffic Signaling,Traffic Signaling
TA0003-Persistence (Enterprise),T1205.001-Port Knocking,Port Knocking
TA0003-Persistence (Enterprise),T1205.002-Socket Filters,Socket Filters
TA0003-Persistence (Enterprise),T1078-Valid Accounts,Valid Accounts
TA0003-Persistence (Enterprise),T1078.001-Default Accounts,Default Accounts
TA0003-Persistence (Enterprise),T1078.002-Domain Accounts,Domain Accounts
TA0003-Persistence (Enterprise),T1078.003-Local Accounts,Local Accounts
TA0003-Persistence (Enterprise),T1078.004-Cloud Accounts,Cloud Accounts
TA0008-Lateral Movement (Enterprise),T1210-Exploitation of Remote Services,Exploitation of Remote Services
TA0008-Lateral Movement (Enterprise),T1534-Internal Spearphishing,Internal Spearphishing
TA0008-Lateral Movement (Enterprise),T1570-Lateral Tool Transfer,Lateral Tool Transfer
TA0008-Lateral Movement (Enterprise),T1563-Remote Service Session Hijacking,Remote Service Session Hijacking
TA0008-Lateral Movement (Enterprise),T1563.001-SSH Hijacking,SSH Hijacking
TA0008-Lateral Movement (Enterprise),T1563.002-RDP Hijacking,RDP Hijacking
TA0008-Lateral Movement (Enterprise),T1021-Remote Services,Remote Services
TA0008-Lateral Movement (Enterprise),T1021.001-Remote Desktop Protocol,Remote Desktop Protocol
TA0008-Lateral Movement (Enterprise),T1021.002-SMB/Windows Admin Shares,SMB/Windows Admin Shares
TA0008-Lateral Movement (Enterprise),T1021.003-Distributed Component Object Model,Distributed Component Object Model
TA0008-Lateral Movement (Enterprise),T1021.004-SSH,SSH
TA0008-Lateral Movement (Enterprise),T1021.005-VNC,VNC
TA0008-Lateral Movement (Enterprise),T1021.006-Windows Remote Management,Windows Remote Management
TA0008-Lateral Movement (Enterprise),T1021.007-Cloud Services,Cloud Services
TA0008-Lateral Movement (Enterprise),T1021.008-Direct Cloud VM Connections,Direct Cloud VM Connections
TA0008-Lateral Movement (Enterprise),T1091-Replication Through Removable Media,Replication Through Removable Media
TA0008-Lateral Movement (Enterprise),T1072-Software Deployment Tools,Software Deployment Tools
TA0008-Lateral Movement (Enterprise),T1080-Taint Shared Content,Taint Shared Content
TA0008-Lateral Movement (Enterprise),T1550-Use Alternate Authentication Material,Use Alternate Authentication Material
TA0008-Lateral Movement (Enterprise),T1550.001-Application Access Token,Application Access Token
TA0008-Lateral Movement (Enterprise),T1550.002-Pass the Hash,Pass the Hash
TA0008-Lateral Movement (Enterprise),T1550.003-Pass the Ticket,Pass the Ticket
TA0008-Lateral Movement (Enterprise),T1550.004-Web Session Cookie,Web Session Cookie
TA0011-Command and Control (Enterprise),T1071-Application Layer Protocol,Application Layer Protocol
TA0011-Command and Control (Enterprise),T1071.001-Web Protocols,Web Protocols
TA0011-Command and Control (Enterprise),T1071.002-File Transfer Protocols,File Transfer Protocols
TA0011-Command and Control (Enterprise),T1071.003-Mail Protocols,Mail Protocols
TA0011-Command and Control (Enterprise),T1071.004-DNS,DNS
TA0011-Command and Control (Enterprise),T1071.005-Publish/Subscribe Protocols,Publish/Subscribe Protocols
TA0011-Command and Control (Enterprise),T1092-Communication Through Removable Media,Communication Through Removable Media
TA0011-Command and Control (Enterprise),T1659-Content Injection,Content Injection
TA0011-Command and Control (Enterprise),T1132-Data Encoding,Data Encoding
TA0011-Command and Control (Enterprise),T1132.001-Standard Encoding,Standard Encoding
TA0011-Command and Control (Enterprise),T1132.002-Non-Standard Encoding,Non-Standard Encoding
TA0011-Command and Control (Enterprise),T1001-Data Obfuscation,Data Obfuscation
TA0011-Command and Control (Enterprise),T1001.001-Junk Data,Junk Data
TA0011-Command and Control (Enterprise),T1001.002-Steganography,Steganography
TA0011-Command and Control (Enterprise),T1001.003-Protocol or Service Impersonation,Protocol or Service Impersonation
TA0011-Command and Control (Enterprise),T1568-Dynamic Resolution,Dynamic Resolution
TA0011-Command and Control (Enterprise),T1568.001-Fast Flux DNS,Fast Flux DNS
TA0011-Command and Control (Enterprise),T1568.002-Domain Generation Algorithms,Domain Generation Algorithms
TA0011-Command and Control (Enterprise),T1568.003-DNS Calculation,DNS Calculation
TA0011-Command and Control (Enterprise),T1573-Encrypted Channel,Encrypted Channel
TA0011-Command and Control (Enterprise),T1573.001-Symmetric Cryptography,Symmetric Cryptography
TA0011-Command and Control (Enterprise),T1573.002-Asymmetric Cryptography,Asymmetric Cryptography
TA0011-Command and Control (Enterprise),T1008-Fallback Channels,Fallback Channels
TA0011-Command and Control (Enterprise),T1665-Hide Infrastructure,Hide Infrastructure
TA0011-Command and Control (Enterprise),T1105-Ingress Tool Transfer,Ingress Tool Transfer
TA0011-Command and Control (Enterprise),T1104-Multi-Stage Channels,Multi-Stage Channels
TA0011-Command and Control (Enterprise),T1095-Non-Application Layer Protocol,Non-Application Layer Protocol
TA0011-Command and Control (Enterprise),T1571-Non-Standard Port,Non-Standard Port
TA0011-Command and Control (Enterprise),T1572-Protocol Tunneling,Protocol Tunneling
TA0011-Command and Control (Enterprise),T1090-Proxy,Proxy
TA0011-Command and Control (Enterprise),T1090.001-Internal Proxy,Internal Proxy
TA0011-Command and Control (Enterprise),T1090.002-External Proxy,External Proxy
TA0011-Command and Control (Enterprise),T1090.003-Multi-hop Proxy,Multi-hop Proxy
TA0011-Command and Control (Enterprise),T1090.004-Domain Fronting,Domain Fronting
TA0011-Command and Control (Enterprise),T1219-Remote Access Tools,Remote Access Tools
TA0011-Command and Control (Enterprise),T1219.001-IDE Tunneling,IDE Tunneling
TA0011-Command and Control (Enterprise),T1219.002-Remote Desktop Software,Remote Desktop Software
TA0011-Command and Control (Enterprise),T1219.003-Remote Access Hardware,Remote Access Hardware
TA0011-Command and Control (Enterprise),T1205-Traffic Signaling,Traffic Signaling
TA0011-Command and Control (Enterprise),T1205.001-Port Knocking,Port Knocking
TA0011-Command and Control (Enterprise),T1205.002-Socket Filters,Socket Filters
TA0011-Command and Control (Enterprise),T1102-Web Service,Web Service
TA0011-Command and Control (Enterprise),T1102.001-Dead Drop Resolver,Dead Drop Resolver
TA0011-Command and Control (Enterprise),T1102.002-Bidirectional Communication,Bidirectional Communication
TA0011-Command and Control (Enterprise),T1102.003-One-Way Communication,One-Way Communication
TA0010-Exfiltration (Enterprise),T1020-Automated Exfiltration,Automated Exfiltration
TA0010-Exfiltration (Enterprise),T1020.001-Traffic Duplication,Traffic Duplication
TA0010-Exfiltration (Enterprise),T1030-Data Transfer Size Limits,Data Transfer Size Limits
TA0010-Exfiltration (Enterprise),T1048-Exfiltration Over Alternative Protocol,Exfiltration Over Alternative Protocol
TA0010-Exfiltration (Enterprise),T1048.001-Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Exfiltration Over Symmetric Encrypted Non-C2 Protocol
TA0010-Exfiltration (Enterprise),T1048.002-Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
TA0010-Exfiltration (Enterprise),T1048.003-Exfiltration Over Unencrypted Non-C2 Protocol,Exfiltration Over Unencrypted Non-C2 Protocol
TA0010-Exfiltration (Enterprise),T1041-Exfiltration Over C2 Channel,Exfiltration Over C2 Channel
TA0010-Exfiltration (Enterprise),T1011-Exfiltration Over Other Network Medium,Exfiltration Over Other Network Medium
TA0010-Exfiltration (Enterprise),T1011.001-Exfiltration Over Bluetooth,Exfiltration Over Bluetooth
TA0010-Exfiltration (Enterprise),T1052-Exfiltration Over Physical Medium,Exfiltration Over Physical Medium
TA0010-Exfiltration (Enterprise),T1052.001-Exfiltration over USB,Exfiltration over USB
TA0010-Exfiltration (Enterprise),T1567-Exfiltration Over Web Service,Exfiltration Over Web Service
TA0010-Exfiltration (Enterprise),T1567.001-Exfiltration to Code Repository,Exfiltration to Code Repository
TA0010-Exfiltration (Enterprise),T1567.002-Exfiltration to Cloud Storage,Exfiltration to Cloud Storage
TA0010-Exfiltration (Enterprise),T1567.003-Exfiltration to Text Storage Sites,Exfiltration to Text Storage Sites
TA0010-Exfiltration (Enterprise),T1567.004-Exfiltration Over Webhook,Exfiltration Over Webhook
TA0010-Exfiltration (Enterprise),T1029-Scheduled Transfer,Scheduled Transfer
TA0010-Exfiltration (Enterprise),T1537-Transfer Data to Cloud Account,Transfer Data to Cloud Account
TA0005-Defense Evasion (Enterprise),T1548-Abuse Elevation Control Mechanism,Abuse Elevation Control Mechanism
TA0005-Defense Evasion (Enterprise),T1548.001-Setuid and Setgid,Setuid and Setgid
TA0005-Defense Evasion (Enterprise),T1548.002-Bypass User Account Control,Bypass User Account Control
TA0005-Defense Evasion (Enterprise),T1548.003-Sudo and Sudo Caching,Sudo and Sudo Caching
TA0005-Defense Evasion (Enterprise),T1548.004-Elevated Execution with Prompt,Elevated Execution with Prompt
TA0005-Defense Evasion (Enterprise),T1548.005-Temporary Elevated Cloud Access,Temporary Elevated Cloud Access
TA0005-Defense Evasion (Enterprise),T1548.006-TCC Manipulation,TCC Manipulation
TA0005-Defense Evasion (Enterprise),T1134-Access Token Manipulation,Access Token Manipulation
TA0005-Defense Evasion (Enterprise),T1134.001-Token Impersonation/Theft,Token Impersonation/Theft
TA0005-Defense Evasion (Enterprise),T1134.002-Create Process with Token,Create Process with Token
TA0005-Defense Evasion (Enterprise),T1134.003-Make and Impersonate Token,Make and Impersonate Token
TA0005-Defense Evasion (Enterprise),T1134.004-Parent PID Spoofing,Parent PID Spoofing
TA0005-Defense Evasion (Enterprise),T1134.005-SID-History Injection,SID-History Injection
TA0005-Defense Evasion (Enterprise),T1197-BITS Jobs,BITS Jobs
TA0005-Defense Evasion (Enterprise),T1612-Build Image on Host,Build Image on Host
TA0005-Defense Evasion (Enterprise),T1622-Debugger Evasion,Debugger Evasion
TA0005-Defense Evasion (Enterprise),T1140-Deobfuscate/Decode Files or Information,Deobfuscate/Decode Files or Information
TA0005-Defense Evasion (Enterprise),T1610-Deploy Container,Deploy Container
TA0005-Defense Evasion (Enterprise),T1006-Direct Volume Access,Direct Volume Access
TA0005-Defense Evasion (Enterprise),T1484-Domain or Tenant Policy Modification,Domain or Tenant Policy Modification
TA0005-Defense Evasion (Enterprise),T1484.001-Group Policy Modification,Group Policy Modification
TA0005-Defense Evasion (Enterprise),T1484.002-Trust Modification,Trust Modification
TA0005-Defense Evasion (Enterprise),T1672-Email Spoofing,Email Spoofing
TA0005-Defense Evasion (Enterprise),T1480-Execution Guardrails,Execution Guardrails
TA0005-Defense Evasion (Enterprise),T1480.001-Environmental Keying,Environmental Keying
TA0005-Defense Evasion (Enterprise),T1480.002-Mutual Exclusion,Mutual Exclusion
TA0005-Defense Evasion (Enterprise),T1211-Exploitation for Defense Evasion,Exploitation for Defense Evasion
TA0005-Defense Evasion (Enterprise),T1222-File and Directory Permissions Modification,File and Directory Permissions Modification
TA0005-Defense Evasion (Enterprise),T1222.001-Windows File and Directory Permissions Modification,Windows File and Directory Permissions Modification
TA0005-Defense Evasion (Enterprise),T1222.002-Linux and Mac File and Directory Permissions Modification,Linux and Mac File and Directory Permissions Modification
TA0005-Defense Evasion (Enterprise),T1564-Hide Artifacts,Hide Artifacts
TA0005-Defense Evasion (Enterprise),T1564.001-Hidden Files and Directories,Hidden Files and Directories
TA0005-Defense Evasion (Enterprise),T1564.002-Hidden Users,Hidden Users
TA0005-Defense Evasion (Enterprise),T1564.003-Hidden Window,Hidden Window
TA0005-Defense Evasion (Enterprise),T1564.004-NTFS File Attributes,NTFS File Attributes
TA0005-Defense Evasion (Enterprise),T1564.005-Hidden File System,Hidden File System
TA0005-Defense Evasion (Enterprise),T1564.006-Run Virtual Instance,Run Virtual Instance
TA0005-Defense Evasion (Enterprise),T1564.007-VBA Stomping,VBA Stomping
TA0005-Defense Evasion (Enterprise),T1564.008-Email Hiding Rules,Email Hiding Rules
TA0005-Defense Evasion (Enterprise),T1564.009-Resource Forking,Resource Forking
TA0005-Defense Evasion (Enterprise),T1564.010-Process Argument Spoofing,Process Argument Spoofing
TA0005-Defense Evasion (Enterprise),T1564.011-Ignore Process Interrupts,Ignore Process Interrupts
TA0005-Defense Evasion (Enterprise),T1564.012-File/Path Exclusions,File/Path Exclusions
TA0005-Defense Evasion (Enterprise),T1564.013-Bind Mounts,Bind Mounts
TA0005-Defense Evasion (Enterprise),T1564.014-Extended Attributes,Extended Attributes
TA0005-Defense Evasion (Enterprise),T1574-Hijack Execution Flow,Hijack Execution Flow
TA0005-Defense Evasion (Enterprise),T1574.001-DLL,DLL
TA0005-Defense Evasion (Enterprise),T1574.004-Dylib Hijacking,Dylib Hijacking
TA0005-Defense Evasion (Enterprise),T1574.005-Executable Installer File Permissions Weakness,Executable Installer File Permissions Weakness
TA0005-Defense Evasion (Enterprise),T1574.006-Dynamic Linker Hijacking,Dynamic Linker Hijacking
TA0005-Defense Evasion (Enterprise),T1574.007-Path Interception by PATH Environment Variable,Path Interception by PATH Environment Variable
TA0005-Defense Evasion (Enterprise),T1574.008-Path Interception by Search Order Hijacking,Path Interception by Search Order Hijacking
TA0005-Defense Evasion (Enterprise),T1574.009-Path Interception by Unquoted Path,Path Interception by Unquoted Path
TA0005-Defense Evasion (Enterprise),T1574.010-Services File Permissions Weakness,Services File Permissions Weakness
TA0005-Defense Evasion (Enterprise),T1574.011-Services Registry Permissions Weakness,Services Registry Permissions Weakness
TA0005-Defense Evasion (Enterprise),T1574.012-COR_PROFILER,COR_PROFILER
TA0005-Defense Evasion (Enterprise),T1574.013-KernelCallbackTable,KernelCallbackTable
TA0005-Defense Evasion (Enterprise),T1574.014-AppDomainManager,AppDomainManager
TA0005-Defense Evasion (Enterprise),T1562-Impair Defenses,Impair Defenses
TA0005-Defense Evasion (Enterprise),T1562.001-Disable or Modify Tools,Disable or Modify Tools
TA0005-Defense Evasion (Enterprise),T1562.002-Disable Windows Event Logging,Disable Windows Event Logging
TA0005-Defense Evasion (Enterprise),T1562.003-Impair Command History Logging,Impair Command History Logging
TA0005-Defense Evasion (Enterprise),T1562.004-Disable or Modify System Firewall,Disable or Modify System Firewall
TA0005-Defense Evasion (Enterprise),T1562.006-Indicator Blocking,Indicator Blocking
TA0005-Defense Evasion (Enterprise),T1562.007-Disable or Modify Cloud Firewall,Disable or Modify Cloud Firewall
TA0005-Defense Evasion (Enterprise),T1562.008-Disable or Modify Cloud Logs,Disable or Modify Cloud Logs
TA0005-Defense Evasion (Enterprise),T1562.009-Safe Mode Boot,Safe Mode Boot
TA0005-Defense Evasion (Enterprise),T1562.010-Downgrade Attack,Downgrade Attack
TA0005-Defense Evasion (Enterprise),T1562.011-Spoof Security Alerting,Spoof Security Alerting
TA0005-Defense Evasion (Enterprise),T1562.012-Disable or Modify Linux Audit System,Disable or Modify Linux Audit System
TA0005-Defense Evasion (Enterprise),T1656-Impersonation,Impersonation
TA0005-Defense Evasion (Enterprise),T1070-Indicator Removal,Indicator Removal
TA0005-Defense Evasion (Enterprise),T1070.001-Clear Windows Event Logs,Clear Windows Event Logs
TA0005-Defense Evasion (Enterprise),T1070.002-Clear Linux or Mac System Logs,Clear Linux or Mac System Logs
TA0005-Defense Evasion (Enterprise),T1070.003-Clear Command History,Clear Command History
TA0005-Defense Evasion (Enterprise),T1070.004-File Deletion,File Deletion
TA0005-Defense Evasion (Enterprise),T1070.005-Network Share Connection Removal,Network Share Connection Removal
TA0005-Defense Evasion (Enterprise),T1070.006-Timestomp,Timestomp
TA0005-Defense Evasion (Enterprise),T1070.007-Clear Network Connection History and Configurations,Clear Network Connection History and Configurations
TA0005-Defense Evasion (Enterprise),T1070.008-Clear Mailbox Data,Clear Mailbox Data
TA0005-Defense Evasion (Enterprise),T1070.009-Clear Persistence,Clear Persistence
TA0005-Defense Evasion (Enterprise),T1070.010-Relocate Malware,Relocate Malware
TA0005-Defense Evasion (Enterprise),T1202-Indirect Command Execution,Indirect Command Execution
TA0005-Defense Evasion (Enterprise),T1036-Masquerading,Masquerading
TA0005-Defense Evasion (Enterprise),T1036.001-Invalid Code Signature,Invalid Code Signature
TA0005-Defense Evasion (Enterprise),T1036.002-Right-to-Left Override,Right-to-Left Override
TA0005-Defense Evasion (Enterprise),T1036.003-Rename Legitimate Utilities,Rename Legitimate Utilities
TA0005-Defense Evasion (Enterprise),T1036.004-Masquerade Task or Service,Masquerade Task or Service
TA0005-Defense Evasion (Enterprise),T1036.005-Match Legitimate Resource Name or Location,Match Legitimate Resource Name or Location
TA0005-Defense Evasion (Enterprise),T1036.006-Space after Filename,Space after Filename
TA0005-Defense Evasion (Enterprise),T1036.007-Double File Extension,Double File Extension
